code,name,market,price,asai_score,recommendation,ret_1m,ret_3m,rsi,ma25_diff,pbr,per,div_yield,catalyst_days,mktcap
7906,ヨネックス,スタンダード,2736.0,5.7,不労逆張り,-0.066530194,-0.142838803,22.390159,-0.094284103,3.061447946,21.47040559,0.00877193,13.0,254095000000.0
5351,品川リフラ,プライム,1915.0,20.7,不労逆張り,-0.073984526,-0.082667278,23.00735153,-0.067269185,0.732237541,10.12873608,0.046997389,16.0,90286179450.0
2281,プリマハム,プライム,2512.0,15.5,不労逆張り,-0.070318283,-0.071672517,23.42637201,-0.065437559,1.029839703,17.1458998,0.031847134,9.0,126917000000.0
9005,東急,プライム,1692.5,15.9,不労逆張り,-0.095161721,-0.009011662,23.58275231,-0.079987115,1.102608463,11.25373975,0.017725258,13.0,1057590000000.0
4665,ダスキン,プライム,3928.0,13.5,不労逆張り,-0.061858132,-0.056755918,23.72707383,-0.053460186,1.197046593,23.98047833,0.029276986,16.0,188544000000.0
3197,すかいらーくホールディングス,プライム,3005.0,1.4,不労逆張り,-0.126961069,-0.065899907,24.08068819,-0.084508234,3.644797594,35.27800985,0.007321131,14.0,683644000000.0
520A,ジェイファーマ,最新IPO,552.0,-11.7,不労逆張り,-0.189427313,-0.211428571,24.17624733,-0.159970782,3.434847949,,,15.0,9926696040.0
1950,日本電設工業,プライム,5130.0,57.4,決算カタリスト,0.063212435,0.500648409,58.26295603,0.026076006,1.461734901,17.49714686,0.022417154,1.0,315686000000.0
9962,ミスミグループ本社,プライム,3369.0,56.6,決算カタリスト,0.293033967,0.377599435,73.60376891,0.150782154,2.46793781,28.78066153,0.013078065,1.0,960913000000.0
5214,日本電気硝子,プライム,8331.0,55.0,決算カタリスト,0.384807181,0.239916654,83.68512559,0.189400269,1.272875587,22.88617451,0.018005041,1.0,745818000000.0
5367,ニッカトー,スタンダード,798.0,52.2,決算カタリスト,0.122362869,0.235283524,60.77027659,0.070342772,0.687451668,15.32139359,0.026315789,2.0,9684284610.0
