,﻿銘柄コード,銘柄名,業種,上場市場,次回決算発表日,次回決算発表時間,時価総額,Average Daily Volume(25days),株価,前営業日終値,本日の株価変化率,Bid,Ask,Mid,Mid_Chg_Pct,当日のVolume,Day_High,Day_Low,過去1カ月トータルリターン,過去3か月トータルリターン,過去6か月トータルリターン,過去1年トータルリターン,過去3年トータルリターン,過去5年トータルリターン,25日移動平均,RSI(14日間),配当利回り,PER,PBR,現値と25日移動平均の乖離,Updated_At
111,1844 JT Equity,大盛工業,Construction & Engineering,スタンダード,2026/06/09,,10323100159,183066.6667,551,545,0.011009174,549,552,550.5,0.009165903,88300,553,544,-0.07394958,-0.165151515,-0.143079316,1.18629825,2.169545118,2.153190501,575.1481481,39.87190447,0.020871143,19.86749355,1.696458813,-0.041985962,2026/04/28 6:57
112,1847 JT Equity,イチケン,Construction & Engineering,スタンダード,2026/05/18,13:00,40166181600,44222.22222,2757,2657,0.037636432,2752,2758,2755,0.035714286,92200,2767,2694,0.051086542,0.147816202,0.49276359,1.084777946,2.324010576,2.767370986,2717.37037,52.88737585,0.041712006,7.214157477,1.059019476,0.014583816,2026/04/28 6:57
113,1848 JT Equity,富士ピー・エス,Construction & Engineering,スタンダード,2026/05/15,16:00,10696290300,11859.25926,575,570,0.00877193,570,576,573,0.003502627,7600,575,570,0.007005254,-0.058948764,0.135063726,0.341909051,0.42856746,0.117605534,578.0740741,46.79266459,0.024347826,10.24830064,0.803900605,-0.005317786,2026/04/28 6:57
114,184A JT Equity,学びエイド,Diversified Consumer Services,グロース,2026/06/16,,1174244000,3057.692308,344,351,-0.01994302,340,344,342,-0.036619718,3000,349,339,-0.0626703,-0.180952381,-0.364140481,-0.137844612,-0.698245614,-0.698245614,357.4230769,39.45344337,,,2.067902572,-0.037555149,2026/04/28 6:57
115,1850 JT Equity,南海辰村建設,Construction & Engineering,スタンダード,2026/04/28,13:00,13466286097,75092.59259,467,447,0.044742729,464,467,465.5,0.040223464,211100,467,451,-0.018907563,-0.151011572,-0.130723245,0.510819663,0.45944671,0.617572669,473.9259259,49.17593318,0.012847966,6.574326335,0.731337856,-0.014613942,2026/04/28 6:57
116,1852 JT Equity,淺沼組,Construction & Engineering,プライム,2026/05/13,14:00,76827761790,333796.2963,951,927,0.025889968,948,952,950,0.024811219,332900,951,930,-0.036474164,-0.075597498,0.120071223,0.324243198,0.778857392,1.800063801,980.1111111,41.8523186,0.047318612,12.36169477,1.59441887,-0.029701848,2026/04/28 6:57
117,1853 JT Equity,森組,Construction & Engineering,スタンダード,2026/05/14,14:00,10496000000,36418.51852,320,317,0.009463722,318,320,319,0.004724409,32000,321,317,-0.009287926,-0.026618166,0.005632437,0.094655636,0.214921392,0.31380175,324.0740741,43.71335949,0.04375,12.52305808,0.701700928,-0.012571429,2026/04/28 6:57
118,1860 JT Equity,戸田建設,Construction & Engineering,プライム,2026/05/15,10:30,4.59518E+11,815281.4815,1445,1414,0.021923621,1438.5,1445.5,1442,0.021970234,784400,1447,1418.5,0.000346141,0.088895299,0.408054266,0.706970114,1.012317078,1.182340583,1453.388889,52.34545124,0.031141869,13.38723271,1.152176502,-0.005771951,2026/04/28 6:57
119,1861 JT Equity,熊谷組,Construction & Engineering,プライム,2026/05/15,14:30,2.69409E+11,903488.8889,1556,1470,0.058503401,1555,1560,1557.5,0.060606061,1431700,1559,1487,0.015003262,-0.112085861,0.150090968,0.52472321,1.369779694,1.483541752,1548.703704,55.77941343,0.028920308,12.88155864,1.434006699,0.004711228,2026/04/28 6:57
120,1866 JT Equity,北野建設,Construction & Engineering,スタンダード,2026/05/12,14:00,29960640984,13800,1182,1154,0.024263432,1178,1184,1181,0.022510823,11900,1185,1155,-0.031941032,-0.192097847,-0.030776566,0.153815391,0.578594336,1.335455887,1222.518519,42.68550009,0.023265651,8.635000822,0.581475336,-0.03314348,2026/04/28 6:57
